,Firm name,NWP (£m)  - 2016YE,NWP (£m)  - 2017YE,NWP (£m)  - 2018YE,NWP (£m)  - 2019YE,NWP (£m)  - 2020YE,SCR (£m) - 2016YE,SCR (£m) - 2017YE,SCR (£m) - 2018YE,SCR (£m) - 2019YE,SCR (£m) - 2020YE,EoF for SCR (£m) - 2016YE,EoF for SCR (£m) - 2017YE,EoF for SCR (£m) - 2018YE,EoF for SCR (£m) - 2019YE,EoF for SCR (£m) - 2020YE,SCR coverage ratio - 2016YE,SCR coverage ratio - 2017YE,SCR coverage ratio - 2018YE,SCR coverage ratio - 2019YE,SCR coverage ratio - 2020YE,GWP (£m) - 2016YE,GWP (£m) - 2017YE,GWP (£m) - 2018YE,GWP (£m) - 2019YE,GWP (£m) - 2020YE,Total assets (£m) - 2016YE,Total assets (£m) - 2017YE,Total assets (£m) - 2018YE,Total assets (£m) - 2019YE,Total assets (£m) - 2020YE,Total liabilities (£m) - 2016YE,Total liabilities (£m) - 2017YE,Total liabilities (£m) - 2018YE,Total liabilities (£m) - 2019YE,Total liabilities (£m) - 2020YE,Excess of assets over liabilities (£m) [= equity] - 2016YE,Excess of assets over liabilities (£m) [= equity] - 2017YE,Excess of assets over liabilities (£m) [= equity] - 2018YE,Excess of assets over liabilities (£m) [= equity] - 2019YE,Excess of assets over liabilities (£m) [= equity] - 2020YE
1,Firm 1,-17754.10048645742,0.0,0.0,0.0,0.0,2021.3218622469626,6.9400432308232975e-09,0.0,0.0,0.0,2416.559784992302,3.796177092257411,0.0,0.0,0.0,0.16251965516029768,55887003.05757315,0.0,0.0,0.0,46.76803042498611,0.0,0.0,0.0,0.0,63676.869102333185,9.566095697378056,0.0,0.0,0.0,40171.68315594512,0.0,0.0,0.0,0.0,1243.92499082561,4.398725104861754,0.0,0.0,0.0
2,Firm 2,9.244369313189408,0.09877074830183145,40.812426476455855,35.643070866752666,13.626145148362589,16.459756092235345,15.009073135423128,14.227214158173771,15.037066091884423,1.591638361303183,33.896967279720315,20.945314205790133,78.471171932501,47.73067478997116,28.78416158315556,5.648647051862941,3.683320997264215,10.23950738231817,5.792779750962441,3.1706821860317156,41.794374771369505,6.185296467199545,11.578801427359755,3.891800631616199,16.723242209535766,78.77652420656602,23.312487989588096,56.3423264846408,98.81710709948801,2.6657408369190754,7.970519420983104,12.796789206823165,11.332856746509592,6.730189731030726,16.173862006192543,8.75526056314321,48.42518894491121,0.07082348994019637,43.36837999431913,12.456319039280283
3,Firm 3,0.0,0.8061303680871948,36.62019900755589,86.6300177587044,54.74418007968672,486.8877958868649,495.786299030199,626.6122173590844,81.24257946848688,362.0929218655227,693.5226877917346,767.2522030199601,582.6023283780972,114.81972902063747,841.9326761020571,1.1354978298472036,1.7137627458645972,1.2227812097697366,1.3483116636336157,0.2452828567268876,0.0,68.1051502952764,138.08331610251574,148.586347148166,38.119418231428924,54.67835208929756,2321.1071291554454,1961.5457306465048,226.50591722411414,540.5946709504975,68.00084448501953,1592.310596623569,1005.3289268909017,593.6891008203366,374.7121550357958,210.91880779528236,100.77689119170718,87.58606677227816,922.4876587624241,412.4662069588938
4,Firm 4,19677.45335334369,41072.81615551643,20885.50644457689,14719.67291443594,49204.46513615872,15975.652771305251,15367.8870992743,10797.123318932956,22788.35946768266,16090.310420323205,29997.67427915598,36644.40479670344,10096.9779332528,8536.23483057462,41636.299252158744,0.679157824749635,1.2248344476876403,2.699101788179343,2.0252063480681985,1.1958290318141402,43375.806960310176,23689.616366977127,68276.76399735965,41081.45344852722,37761.88332103191,64985.73442087881,51060.06985836068,138993.22853457718,105167.62352576847,37423.54326123887,48416.74335575748,30870.22654076019,68145.0690792296,92600.14010766316,92273.05396844224,24862.167211432417,7191.961835796562,12910.346382805948,12586.973993419428,24127.839035458303
5,Firm 5,128.8122075540615,10.407370936655743,79.57966325390584,79.42362322335269,61.72729473804931,32.742278982636215,43.95403924735113,31.622572008379212,30.119284531868587,91.51528935936774,149.65474813275208,202.85155056668427,167.40653424700514,176.72219873204017,142.78356894548756,1.4634994403047867,4.963117715739771,3.232800383391596,4.342353046406342,1.618599724318172,80.18391635939476,55.798335634099736,55.46511286236725,18.00065242257914,32.277534869186994,572.0669064799522,140.7179837167945,31.622727203882615,172.50910614616006,15.049929055868704,267.4589672411976,22.979291800146747,69.34324544601853,16.837469857609324,106.1795427142517,262.68352968665073,7.592281334187147,96.9451921246796,104.60976783810227,103.18097233994979
6,Firm 6,3091.3921175906476,3357.9340347512,3215.47296702192,53.2175894206748,5969.707515833444,5127.365838924387,5252.809366522446,5460.800869432097,4581.916567008434,3102.9889590388284,3816.6664729491445,1421.1612022864515,4927.791297677109,6793.543081792665,5628.46042581061,0.04204995822714911,0.6206488165725303,1.104387134715542,2.2338223655336296,2.4979637590642176,1966.0631189349251,1199.6570697644295,4061.617189379182,7464.344111727662,4209.115926295028,76031.72671430241,76887.53082489868,55185.11743774424,11332.290893025338,107547.78749404196,21524.885521049036,29794.425246362305,73169.14052696449,61908.33885756646,7915.435194480527,1730.0510652811818,2681.8824417565443,6397.690379418399,4848.816356810676,9295.371568896366
7,Firm 7,3148.478355811857,3307.129485000403,713.8464201035655,18232.37650982477,6486.658898458129,3352.5004392082656,2155.2016221474432,4246.2390818406375,7597.76341699196,3105.9939560728862,7034.106090456902,4477.933483509581,6458.18840865072,13013.584840915653,7692.023873711289,1.6490175515826815,0.07928339194844859,1.9112325072003506,2.2965745545126657,0.1037128904567473,4169.537704096357,12689.066336204962,5814.003841907128,4224.697702034796,16183.565613808138,93321.45759434692,8523.87107788745,59601.56268658031,60086.6040825925,58820.101135613106,9079.892449278213,157830.72449621957,1656.2013605483546,5825.247115231625,178292.68653024948,9579.73927037392,3474.8107570144134,13507.939847045203,11434.723658397517,13165.525249547232
9,Firm 9,15.279748475312454,15.175538409074221,27.793658236944854,0.3543223192843499,6.464530757397718,6.949545996216788,23.009005785357722,25.178162050224344,16.348338970459448,16.499678590967953,34.96295366571185,46.8010820455176,7.828986691106148,22.723942704926802,33.47002767464453,3.486424711446342,2.4203360227248085,0.6048681087857004,3.9297994172278137,0.25721955741388536,33.268662901319274,24.4086936004898,31.896964788485416,24.276470100285096,7.422013445389735,23.027527013765834,100.7936506298171,3.2742542772644487,32.930936311164594,34.161110689688265,20.11650696590713,3.207393133491776,46.90002956548679,15.837435030308487,23.913826643464596,0.39724947678504097,15.613578203982316,0.7936629235687084,20.901734359247914,49.33002905362435
10,Firm 10,404.1160219992416,3882.087306477307,6640.433865586559,5196.618355333824,221.98651559297582,3839.041693741293,5102.458601165536,2578.8272055136586,323.48157450686386,1773.6936842881573,2052.58151699441,11977.144969281377,4128.905509995237,5724.021345596258,8207.819856927576,1.2492463304706627,0.6691804829843994,1.9579214179256925,1.1120324512846302,0.5987866761162269,678.2237701851045,9887.800615569791,9002.10889465722,10552.586689501439,882.4791584372625,260340.85252015857,156760.4860974873,192068.20515067197,205328.17978308894,195835.57931149038,200126.39849892358,130277.8931160651,193831.90638179219,91918.53824529017,254270.41238559538,7807.061166901381,8980.14836025152,6395.468597786817,4200.109278072575,9062.225268138169
12,Firm 12,0.0,0.0,0.0,0.0,0.0,1.1260371510800897,0.9472278356987943,1.216207085139456,1.725934987768589,1.0605868434299535,2.4609070596874805,2.186284124009043,2.5753111063977085,1.3980606418164419,5.21035008251464,5.11562808740005,3.2628749275837405,5.7356005102034775,2.290197835817658,0.8329425496830719,0.0,0.0,0.0,0.0,0.0,9.659121679201847,19.932729616286114,8.687649388804962,13.347021076720253,9.680439460688017,3.92884619705656,1.0286922147145692,6.40417043641234,2.4361515468366806,4.572480258533199,0.18845941008198752,1.1773422623795256,6.465634921131908,5.549626506284539,3.077297417439005
